,Hoonah,time,Skagway,Klukwan,Yakutat,Craig,Kasaan
237,11.224747,1980-08-25,318.81726,160.10757,307.02905,107.53351,114.12412
238,322.7328,1980-08-26,306.14685,249.77428,283.38123,350.55927,13.275177
239,354.82855,1980-08-27,224.19609,121.94677,210.63962,286.89954,285.73373
240,346.12515,1980-08-28,307.90903,70.08893,119.30963,177.83286,218.4537
241,76.50959,1980-08-29,234.43184,145.84195,329.43018,131.14417,122.308655
242,275.46423,1980-08-30,226.28001,106.934875,282.81952,31.405205,36.92053
243,67.66433,1980-08-31,272.8317,69.61864,102.005035,133.37555,133.34454
244,90.87176,1980-09-01,310.53247,249.2493,75.22202,173.78662,144.00911
245,194.26605,1980-09-02,253.76471,106.71715,168.13626,18.43399,42.205223
246,120.64739,1980-09-03,342.47916,313.1149,126.575424,148.7593,133.07127
247,143.85762,1980-09-04,308.23254,314.04517,100.77681,187.9169,164.51212
248,106.310684,1980-09-05,284.44556,235.21075,311.80878,137.47623,122.33293
249,131.63129,1980-09-06,261.18143,121.28758,141.57555,235.48528,268.47385
250,152.20193,1980-09-07,275.64716,114.995,122.12624,196.00194,296.83157
251,92.25387,1980-09-08,328.27017,281.3023,83.908356,146.08212,132.90854
252,208.64764,1980-09-09,352.75146,43.290813,208.39276,263.78235,292.32642
253,201.80026,1980-09-10,328.7849,34.003998,90.519905,321.93143,332.47412
254,323.27136,1980-09-11,314.32446,295.15125,45.230835,306.26672,314.17725
255,324.28583,1980-09-12,282.156,249.2376,310.70294,313.6848,325.29254
256,304.75946,1980-09-13,5.3965683,88.104935,79.13548,351.29504,348.69922
257,218.30104,1980-09-14,333.9585,114.647415,125.940765,323.31018,321.96695
258,116.58105,1980-09-15,29.951939,103.67093,245.71144,308.56586,317.21942
259,198.15321,1980-09-16,331.69397,104.91495,248.73694,295.40497,301.01898
260,21.949196,1980-09-17,285.87207,194.33644,225.07016,295.88788,284.06848
261,65.61061,1980-09-18,258.39777,131.21689,134.13504,133.55034,139.11229
262,338.19586,1980-09-19,220.91132,245.71193,349.12784,157.55148,120.64552
263,316.90204,1980-09-20,267.1311,253.17023,69.8212,306.59283,311.13736
264,119.07302,1980-09-21,0.05268097,44.701187,93.45987,153.26805,158.19333
265,103.44096,1980-09-22,328.00317,281.8178,140.22025,207.3522,176.90184
266,211.69025,1980-09-23,19.44941,87.04549,206.62791,231.34738,241.09627
267,174.88808,1980-09-24,339.8462,359.0767,159.12021,173.34836,176.807
268,92.84936,1980-09-25,307.62082,225.94305,308.22766,190.03708,181.94223
